track_name,artist_name,year,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,language,mood,spotify_link
Knockout Song - Funk Mix,Anirudh Ravichander,2024,18,0.119,0.801,0.504,0,4,0.132,-5.771,0.259,119.971,0.821,English,Neutral,https://open.spotify.com/track/63tA4cYTJATGSqTE0O8Vp4
"Villain Kaun Hai (From ""Leo (Hindi)"")",Anirudh Ravichander,2024,34,0.28,0.684,0.772,0.0052,7,0.0818,-8.282,0.0419,106.031,0.451,Hindi,Energetic,https://open.spotify.com/track/7qjOhCEl3pxRjJ2mHnfGrs
Knockout Song - Ambient Lofi,Anirudh Ravichander,2024,12,0.451,0.609,0.491,0,4,0.111,-9.933,0.0945,99.186,0.718,English,Calm,https://open.spotify.com/track/0BBAcsIw7RYLtHFTNJUQFe
"Badass (From ""Leo (Hindi)"")",Anirudh Ravichander,2023,45,0.0266,0.669,0.863,0,3,0.33,-3.364,0.119,93.016,0.486,Hindi,Energetic,https://open.spotify.com/track/0JCcLshapR8UnPz8PwNP6x
Lokiverse 2.0,Anirudh Ravichander,2023,27,0.00069,0.641,0.782,0.652,1,0.0767,-6.228,0.0456,93.006,0.376,Hindi,Energetic,https://open.spotify.com/track/5OxVOeYmIzelfupJtq1X6G
"Tera Hi Jaadu Hai (From ""Leo (Hindi)"")",Anirudh Ravichander,2023,34,0.745,0.483,0.572,0.0247,10,0.0912,-11.78,0.0409,83.881,0.541,Hindi,Neutral,https://open.spotify.com/track/21htcSUXAaLkOg8a114IwQ
Bloody Sweet,Anirudh Ravichander,2023,27,0.00442,0.511,0.683,0.00516,5,0.089,-6.484,0.0427,123.85,0.254,Hindi,Neutral,https://open.spotify.com/track/2yV5Gno1DLwqBDJ1JYxmJk
Badass,Anirudh Ravichander,2023,27,0.0266,0.669,0.863,0,3,0.33,-3.364,0.119,93.016,0.486,Hindi,Energetic,https://open.spotify.com/track/32qnBgfzURbwNayQIEB5W5
Tera Hi Jaadu Hai,Anirudh Ravichander,2023,26,0.791,0.401,0.547,0.143,10,0.0912,-12.091,0.0396,83.564,0.545,Hindi,Neutral,https://open.spotify.com/track/21htcSUXAaLkOg8a114IwQ
Ready Chal,Anirudh Ravichander,2023,30,0.112,0.68,0.832,6.49E-05,5,0.0322,-4.793,0.246,175.879,0.589,Hindi,Energetic,https://open.spotify.com/track/4bXXWcMr1eIbBx05kL6AFt
"Ready Chal (From ""Leo (Hindi)"")",Anirudh Ravichander,2023,40,0.112,0.68,0.832,6.49E-05,5,0.0322,-4.793,0.246,175.879,0.589,Hindi,Energetic,https://open.spotify.com/track/7f3jo0H27PiqBDlpTnxs5e
Glimpse of Antony Das,Anirudh Ravichander,2023,22,0.18,0.497,0.572,0.594,10,0.134,-10.695,0.112,179.152,0.0726,Hindi,Neutral,https://open.spotify.com/track/3yW4gZOr48Fy1DvGKDz2wj
Glimpse of Harold Das,Anirudh Ravichander,2023,22,0.00267,0.581,0.818,0.854,11,0.121,-7.822,0.134,172.581,0.074,Hindi,Neutral,https://open.spotify.com/track/622DShHXxhC32wnAHbVpuK
Knockout Song - House Mix,Anirudh Ravichander,2023,7,0.0264,0.753,0.827,0.000582,11,0.358,-7.441,0.0467,127.998,0.512,English,Energetic,https://open.spotify.com/track/5OMH9KGnXhzbiVL1kDxZTg
"Knockout Song (From ""Arasiyalla Idhellam Saadharnamappa"") - Dance Mix",Anirudh Ravichander,2023,9,0.501,0.86,0.451,0,2,0.355,-10.897,0.174,119.806,0.36,English,Neutral,https://open.spotify.com/track/0FohlnDwx8urnryFTlSG4E
Vikram Title Track - Hindi,Anirudh Ravichander,2022,33,0.207,0.651,0.887,0.000238,1,0.124,-2.74,0.0594,169.962,0.146,Hindi,Energetic,https://open.spotify.com/track/75uJJC9gnQepYBEmPLS0rI
Once Upon A Time,Anirudh Ravichander,2022,28,0.00653,0.646,0.878,0.0531,1,0.117,-3.671,0.083,123.849,0.427,Hindi,Energetic,https://open.spotify.com/track/4wCy7erulqUfFQNVaZBD9b
"Ek Sher Ho Tum (From ""Vikram Hitlist (Hindi)"")",Anirudh Ravichander,2022,22,0.542,0.503,0.59,4.92E-05,5,0.383,-7.03,0.03,119.932,0.605,Hindi,Neutral,https://open.spotify.com/track/2J82PeFhP8nGkbF9nuwfst
Badle Badle,Anirudh Ravichander,2022,18,0.23,0.839,0.84,0,0,0.0933,-4.169,0.369,130.047,0.876,Hindi,Happy,https://open.spotify.com/track/65dj19oV6eba8cVwsicqZ7
Wasted,Anirudh Ravichander,2022,19,0.00174,0.651,0.827,0.0947,10,0.0802,-5.108,0.0322,114.917,0.846,Hindi,Happy,https://open.spotify.com/track/2dpMdklbSc5CmZ3ijhknZ5
Ek Sher Ho Tum,Anirudh Ravichander,2022,21,0.542,0.503,0.59,4.92E-05,5,0.383,-7.03,0.03,119.932,0.605,Hindi,Neutral,https://open.spotify.com/track/2J82PeFhP8nGkbF9nuwfst
Badle Badle - Rap Extended Version,Anirudh Ravichander,2022,16,0.241,0.833,0.858,0,0,0.0808,-4.527,0.385,130.026,0.833,Hindi,Happy,https://open.spotify.com/track/65dj19oV6eba8cVwsicqZ7
"Badle Badle (From ""Vikram Hitlist (Hindi)"") - Rap Extended Version",Anirudh Ravichander,2022,18,0.246,0.832,0.859,0,0,0.0902,-4.557,0.383,130.014,0.844,Hindi,Happy,https://open.spotify.com/track/65dj19oV6eba8cVwsicqZ7
"Badle Badle (From ""Vikram Hitlist (Hindi)"")",Anirudh Ravichander,2022,9,0.23,0.839,0.84,0,0,0.0933,-4.169,0.369,130.047,0.876,Hindi,Happy,https://open.spotify.com/track/65dj19oV6eba8cVwsicqZ7
"Knockout Song (From ""Arasiyalla Idhellam Saadharnamappa"")",Anirudh Ravichander,2021,11,0.506,0.647,0.547,0,7,0.216,-8.115,0.185,179.677,0.793,English,Neutral,https://open.spotify.com/track/4gJsbm0UYSWNiWNBv1YzjX
Mass Marudaan,Anirudh Ravichander,2018,15,0.471,0.562,0.894,8.11E-06,10,0.386,-5.226,0.326,168.389,0.718,Hindi,Happy,https://open.spotify.com/track/6eqoQ2ui3ZdlH1TsHk78pf
Kaali Theme - Instrumental,Anirudh Ravichander,2018,7,0.13,0.755,0.86,0.388,2,0.464,-6.137,0.0684,112.524,0.745,Hindi,Happy,https://open.spotify.com/track/3bOnh6Y831UGbAHGZosoE4
Petta Theme - Instrumental,Anirudh Ravichander,2018,14,0.0166,0.668,0.774,0.869,1,0.081,-4.142,0.034,133.02,0.293,Hindi,Energetic,https://open.spotify.com/track/5YM1e7qxBFS2EPORdjJbjm
Singaar Singh - Instrumental,Anirudh Ravichander,2018,6,0.372,0.777,0.721,0.809,10,0.149,-7.454,0.173,80.106,0.153,Hindi,Energetic,https://open.spotify.com/track/2iQOagHL2i6eV7BuW6ROcS
Madura Petta - Instrumental,Anirudh Ravichander,2018,4,0.182,0.626,0.944,0.952,11,0.0747,-4.414,0.183,87.972,0.869,Hindi,Happy,https://open.spotify.com/track/5cbcTeuTt1MbETJTuHZQsB
